location_name,location_id,case_inflection_date,lag
Armenia,33,1/4/22,21
Azerbaijan,34,1/8/22,21
Georgia,35,1/1/22,21
Kazakhstan,36,1/4/22,21
Kyrgyzstan,37,1/2/22,21
Mongolia,38,12/31/21,28
Tajikistan,39,,28
Turkmenistan,40,,28
Uzbekistan,41,1/3/22,28
Albania,43,1/1/22,28
Bosnia and Herzegovina,44,12/24/21,28
Bulgaria,45,12/24/21,21
Croatia,46,12/23/21,21
Czechia,47,12/31/21,21
Hungary,48,1/1/22,28
Montenegro,50,12/20/21,21
North Macedonia,49,12/29/21,21
Poland,51,1/8/22,28
Romania,52,12/28/21,28
Serbia,53,12/25/21,28
Slovakia,54,1/23/22,28
Slovenia,55,12/24/21,28
Belarus,57,1/11/22,28
Estonia,58,12/22/21,28
Latvia,59,12/28/21,28
Lithuania,60,12/29/21,28
Republic of Moldova,61,12/31/21,28
Russian Federation,62,1/10/22,28
Ukraine,63,1/8/22,28
Australia,71,12/10/21,28
New Zealand ,72,1/29/22,28
Brunei Darussalam ,66,1/29/22,28
Japan,67,1/3/22,28
Republic of Korea,68,1/10/22,28
Singapore,69,12/30/21,28
Alberta,43858,12/10/21,42
British Columbia,43859,12/10/21,42
Manitoba,43860,12/15/21,42
New Brunswick,43861,12/18/21,42
Newfoundland and Labrador,43862,12/10/21,42
Northwest Territories ,43863,12/30/21,42
Nova Scotia,43864,12/10/21,42
Nunavut,43865,12/20/21,42
Ontario,43866,12/10/21,42
Prince Edward Island,43867,12/14/21,42
Quebec,43868,12/14/21,42
Saskatchewan,43869,12/20/21,42
Yukon,43870,12/28/21,42
Greenland,349,12/26/21,28
Alabama,523,12/18/21,28
Alaska,524,12/28/21,28
Arizona,525,12/25/21,28
Arkansas,526,12/24/21,28
California,527,12/18/21,28
Colorado,528,12/17/21,28
Connecticut,529,12/17/21,28
Delaware,530,12/23/21,28
District of Columbia,531,12/8/21,28
Florida,532,12/18/21,28
Georgia,533,12/15/21,28
Hawaii,534,12/13/21,28
Idaho,535,12/24/21,28
Illinois,536,12/20/21,28
Indiana,537,12/25/21,28
Iowa,538,12/23/21,28
Kansas,539,12/22/21,28
Kentucky,540,12/23/21,28
Louisiana,541,12/15/21,28
Maine,542,12/31/21,28
Maryland,543,12/17/21,28
Massachusetts,544,12/18/21,28
Michigan,545,12/23/21,28
Minnesota,546,12/28/21,28
Mississippi,547,12/24/21,28
Missouri,548,12/18/21,28
Montana,549,12/24/21,28
Nebraska,550,12/23/21,21
Nevada,551,12/24/21,28
New Hampshire,552,12/26/21,28
New Jersey,553,12/15/21,28
New Mexico,554,12/24/21,28
New York,555,12/15/21,28
North Carolina,556,12/25/21,28
North Dakota,557,12/31/21,28
Ohio,558,12/22/21,28
Oklahoma,559,12/24/21,21
Oregon,560,12/22/21,28
Pennsylvania,561,12/22/21,28
Rhode Island ,562,12/24/21,21
South Carolina,563,12/18/21,28
South Dakota ,564,12/30/21,21
Tennessee,565,12/20/21,28
Texas,566,12/20/21,28
Utah,567,12/24/21,28
Vermont,568,12/27/21,28
Virginia,569,12/22/21,28
Washington,570,12/15/21,28
King and Snohomish Counties,60886,12/14/21,28
Spokane County,3539,12/22/21,28
"Washington except for King, Snohomish, and Spokane Counties ",60887,12/18/21,28
West Virginia,571,12/24/21,28
Wisconsin,572,12/24/21,28
Wyoming,573,12/23/21,28
Argentina,97,12/22/21,35
Chile,98,12/28/21,28
Uruguay,99,12/24/21,35
Andorra,74,12/28/21,35
Austria,75,12/25/21,28
Belgium,76,12/24/21,28
Cyprus,77,12/22/21,28
Denmark,78,12/24/21,35
Finland,79,12/24/21,28
France,80,12/22/21,28
Baden-Württemberg,60377,12/27/21,28
Bavaria,60378,12/28/21,28
Berlin,60379,12/30/21,28
Brandenburg,60380,12/31/21,28
Bremen,60381,12/26/21,28
Hamburg,60382,12/27/21,28
Hesse,60383,12/28/21,28
Lower Saxony,60384,12/27/21,28
Mecklenburg-Vorpommern ,60385,12/27/21,28
North Rhine-Westphalia,60386,12/28/21,28
Rhineland-Palatinate,60387,12/27/21,28
Saarland,60388,12/27/21,28
Saxony,60390,1/15/22,28
Saxony-Anhalt ,60389,1/15/22,28
Schleswig-Holstein,60391,12/27/21,28
Thuringia,60392,1/15/22,28
Greece,82,12/22/21,42
Iceland,83,12/21/21,28
Ireland,84,12/18/21,28
Israel,85,12/8/21,56
Abruzzo,35507,12/25/21,28
Basilicata,35511,12/24/21,28
Calabria,35512,12/24/21,28
Campania,35509,12/24/21,28
Emilia-Romagna,35502,12/25/21,28
Friuli-Venezia Giulia,35501,12/25/21,28
Lazio,35506,12/22/21,28
Liguria,35496,1/5/22,28
Lombardia,35497,12/20/21,28
